id;budget_item_id;amount;description;invoice_url;status;claimed_by;approved_by;expense_date;created_at;updated_at;budget_master_id;gst_amount;is_correction;correction_reason;correction_requested_at;correction_approved_at;correction_completed_at;tds_percentage;tds_amount
ae086e21-8f90-4512-a0f6-234bb972c903;;915934.17;Historical expense for Lifts - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:45.483494+00;2025-11-23 09:14:45.483494+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
9cd0b9e3-2f6b-4cec-855c-a3daf155a461;;269100.00;Historical expense for Swimming Pool - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:45.71731+00;2025-11-23 09:14:45.71731+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
f14aef09-1ccf-4131-9974-bd90b4e4aafa;;269100.00;Historical expense for Swimming Pool - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:45.947904+00;2025-11-23 09:14:45.947904+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
92c8355e-4bb5-4646-bfeb-fdd40b0c6a34;;269100.00;Historical expense for Swimming Pool - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:46.203568+00;2025-11-23 09:14:46.203568+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
5fe57aa6-d455-4123-9eab-2fac1d4acf48;;269100.00;Historical expense for Swimming Pool - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:46.44385+00;2025-11-23 09:14:46.44385+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
ef8041fd-984c-4035-8a65-3e2ec2e21932;;269100.00;Historical expense for Swimming Pool - august 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-08-15;2025-11-23 09:14:46.703762+00;2025-11-23 09:14:46.703762+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
2365df7c-2458-4901-9179-cc49dd1dffdb;;269100.00;Historical expense for Swimming Pool - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:46.946601+00;2025-11-23 09:14:46.946601+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
cb766678-8ab1-4686-adb0-ade996b27492;;269100.00;Historical expense for Swimming Pool - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:47.184694+00;2025-11-23 09:14:47.184694+00;82d5215d-27b4-4d9d-8712-df08dce88507;0;false;;;;;0;0
c879123c-5ecd-4285-b036-f7a167aaccaf;;241020.00;Historical expense for Gas Bank Contract - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:47.4377+00;2025-11-23 09:14:47.4377+00;c21162dd-ca27-4e0a-9430-34df5f304b34;0;false;;;;;0;0
e4040118-b3ef-4d38-aa2c-c09bd661fd3e;;241020.00;Historical expense for Gas Bank Contract - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:47.680663+00;2025-11-23 09:14:47.680663+00;c21162dd-ca27-4e0a-9430-34df5f304b34;0;false;;;;;0;0
551987a9-03d8-4faa-938f-25fb52425049;;241020.00;Historical expense for Gas Bank Contract - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:47.917119+00;2025-11-23 09:14:47.917119+00;c21162dd-ca27-4e0a-9430-34df5f304b34;0;false;;;;;0;0
